region,prop_urban
Batha,0.108095271
"Borkou, Tibesti",0.357394657
Chari Baguirmi,0.049263085
Guéra,0.161843677
Hadjer Lamis,0.116593574
Kanem,0.128220357
Lac,0.099822495
Logone Occidental,0.241321309
Logone Oriental,0.15651982
Mandoul,0.097198538
Mayo Kebbi Est,0.13406868
Mayo Kebbi Ouest,0.128191046
Moyen Chari,0.21780656
Ouaddaï,0.166058855
Salamat,0.218163354
Tandjilé,0.116034603
Wadi Fira,0.121290444
N'Djaména,1
Barh El Gazal,0.114900084
"Ennedi Est, Ennedi Ouest",0.196017127
Sila,0.158994718